STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_IS_RRS_PASG_KM,_T,_T,_T,PS_KM,_Z,_Z,_Z,1999,10.0,_Z,COUNT,2,WB_WDI,P1Y,6,A,PU,Annual,Uruguay,"Railways, passengers carried (million passenger-km)",Total,All age ranges or no breakdown by age,Total,Persons per kilometer,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Millions,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SL_TLF_CACT_FM_ZS,F,_T,_T,RO,_Z,_Z,_Z,1999,67.07337340387225,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Female,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SL_TLF_CACT_FM_NE_ZS,F,_T,_T,RO,_Z,_Z,_Z,1999,67.07261755852153,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Ratio of female to male labor force participation rate (%) (national estimate),Female,All age ranges or no breakdown by age,Total,Ratio,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_PX_REX_REER,_T,_T,_T,IX,_Z,_Z,_Z,1999,114.4351977549319,_Z,IX,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Real effective exchange rate index (2010 = 100),Total,All age ranges or no breakdown by age,Total,Index,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_FR_INR_RINR,_T,_T,_T,PA,_Z,_Z,_Z,1999,45.969194412856744,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Real interest rate (%),Total,All age ranges or no breakdown by age,Total,Percent per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SM_POP_RHCR_EA,_T,_T,_T,PPL,_Z,_Z,_Z,1999,83.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Refugees under the mandate of the UNHCR by country or territory of asylum,Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SM_POP_RHCR_EO,_T,_T,_T,PPL,_Z,_Z,_Z,1999,36.0,_Z,COUNT,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Refugees under the mandate of the UNHCR by country or territory of origin,Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_EG_ELC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,77.11664117892396,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Renewable electricity output (% of total electricity output),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_EG_FEC_RNEW_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,33.3,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Renewable energy consumption (% of total final energy consumption),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_ER_H2O_INTR_PC,_T,_T,_T,M3,_Z,_Z,_Z,1999,28334.227100981403,_Z,NUMBER,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Renewable internal freshwater resources per capita (cubic meters),Total,All age ranges or no breakdown by age,Total,Cubic meters,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
